NAME	CD14	CD19	CD4_Eff	CD56	CD8	Eos	Neu	Treg
cg05356800	93.637405947662	90.4489256943937	85.1659066167062	18.8903363472667	6.68717129484986	95.6105164482045	95.3202227230395	77.2253459174539
cg08462017	56.3525088994009	55.2179866289891	25.9137708350574	55.4700911917197	54.3002787004828	53.2702010267562	53.5526904888867	19.1446281671367
cg24462702	91.8989556819632	94.925303171111	5.69513431239064	88.2869616010054	89.5904334767394	90.2685172714927	90.8264714089436	7.33113477024693
cg01103597	81.8314632139103	84.539880070704	73.1318879659712	23.557217763091	28.1815703163233	80.9241044605417	79.0760065954325	68.3048379902397
cg07786657	96.1055081993544	96.8366486625084	1.20973644969716	18.9938352250955	2.54436121193148	97.6009331090541	96.4265447969108	1.36259848950012
cg07841371	94.2022867477828	16.9284104990118	96.74950023792	94.4602137461303	94.9521387752128	96.3671430652128	95.3460608886985	94.787182488556
cg08864105	3.20478966522563	83.9675519768695	2.09644051195239	5.76734755118521	3.21194120651114	2.51521434330031	2.57992952753123	1.88390717771559
cg09032544	97.3474536851249	97.6830948866864	1.44130476189112	27.1439654618032	2.99759429701755	98.6522225583622	97.4944824355746	1.61966901146869
cg09245989	87.7393952054354	88.774995955802	20.2724315352916	80.1497179402671	27.9145050979207	89.0952977301042	89.1210134443362	17.5972611770365
cg09993145	6.07973703707342	7.68708066834221	2.36685183045817	3.47777533371367	3.57210374392592	93.2419939779011	91.9548355902456	2.10472685008412
cg12102235	80.8326273073932	24.1285937176677	5.89005481124655	60.0597491542268	15.9331754834618	5.65557522144175	5.17794935981636	7.78304913382223
cg12131894	92.5057149003106	84.8226645131935	86.1999688239223	77.8891282070773	70.9491421982804	94.4084343312888	93.4845053644186	53.2127037409384
cg12297231	92.5679514795888	93.7687897204932	10.3167172607452	84.6680308838566	77.6658333381017	87.689135030892	93.4066562387165	12.5927660129541
cg13785123	89.7650923761106	96.8101581509312	96.101339297615	96.7942242951431	96.5016238752779	90.8610590728099	31.534622036378	95.9857785537644
cg14974223	88.4437045103256	88.30164280622	77.7564678961756	85.8182492728962	84.7717878531147	88.7856436865792	89.6707621072183	57.2066434748168
cg15564619	67.5027973197888	88.9447516980601	1.81124204000249	84.6598802584213	32.8530199477779	66.6295986838485	69.7847962865496	1.88042944765291
cg15824543	94.2456563158676	96.9346270096262	95.6298072200168	95.7466912520934	96.6422820015349	64.9179064689883	79.2755406794728	96.2378250491973
cg15935121	61.6408439542422	87.1095108321196	88.3078826588894	50.5464538260752	69.6447327252008	77.1351405710465	79.2970665168164	86.3089865544808
